order_id,order_date,customer_name,phone,sku,product_name,quantity,unit_price,line_total,source_file,source_row,raw_product_name
ORD-10001,2026-08-16,Laras Nugroho,+6289096811240,SH080,Sabun Harum 80g,1,6500,6500,orders_july.csv,2,Sabun Harum 80g
ORD-10002,2026-07-25,Raka Rahma,,DSP45,Deterjen Segar Pagi 450g,1,15500,15500,orders_july.csv,3,Produk Misterius
ORD-10004,2026-07-02,Hana Rahma,,SKR80,Susu Kotak Rasa 180ml,5,7000,35000,orders_july.csv,5,susu kotak rasa 180ml
ORD-10006,2026-07-05,Vina Saputra,+6282083542838,TS025,Teh Senja 25 Sachet,7,17000,119000,orders_july.csv,7,Teh Senja 25 Sachet
ORD-10007,2026-07-17,Galih Wulandari,+6285358308350,BR120,Biskuit Rimba 120g,4,12000,48000,orders_july.csv,8,BISKUIT RIMBA 120G
ORD-10008,2026-07-25,Bima Nugroho,+6287029237698,BR120,Biskuit Rimba 120g,3,12000,36000,orders_july.csv,9,Biskuit Rimba 120g
ORD-10009,2026-07-14,Indra Rahma,+6285150717527,TS025,Teh Senja 25 Sachet,2,17000,34000,orders_july.csv,10,Teh Senja 25 Sachet
ORD-10010,2026-07-27,Farah Rahma,+6281070228320,KRC10,Keripik Renyah Cabe 100g,5,11000,55000,orders_july.csv,11,Keripik Renyah Cabe 100g
ORD-10011,2026-07-14,Jihan Saputra,+6282486976409,TS025,Teh Senja 25 Sachet,6,17000,102000,orders_july.csv,12,Teh   Senja   25   Sachet
ORD-10012,2026-07-07,Eka Nugroho,+6286559807710,MDD1L,Minyak Dapur Desa 1L,8,19000,152000,orders_july.csv,13,MINYAK DAPUR DESA 1L
ORD-10014,2026-07-16,Farah Pratama,+6286789388161,MDD1L,Minyak Dapur Desa 1L,2,19000,38000,orders_july.csv,15,Minyak Dapur Desa 1L
ORD-10015,2026-07-23,Eka Rahma,+6281005205297,SKR80,Susu Kotak Rasa 180ml,7,7000,49000,orders_july.csv,16,susu kotak
ORD-10016,2026-07-19,Indra Hidayat,+6281133406110,MGP01,Mi Gurih Pedas,3,3800,11400,orders_july.csv,17,Mi Gurih Pedas
ORD-10018,2026-08-30,Dimas Wulandari,+6284383087490,SH080,Sabun Harum 80g,2,6500,13000,orders_july.csv,19,Sabun Harum 80g
ORD-10019,2026-08-26,Eka Putra,+6283901847887,BR120,Biskuit Rimba 120g,4,12000,48000,orders_july.csv,20,BISKUIT RIMBA 120G
ORD-10020,2026-08-20,Maya Nugroho,+6289630995215,MGA01,Mi Gurih Ayam,5,3500,17500,orders_july.csv,21,MI GURIH AYAM
ORD-10021,2026-07-26,Farah Santoso,+6289474859051,MGA01,Mi Gurih Ayam,2,3500,7000,orders_july.csv,22,Mi Gurih Ayam
ORD-10022,2026-07-24,Bima Hidayat,+6280876614871,WG110,Wafer Gembira 110g,5,9500,47500,orders_july.csv,23,wafer gembira 110g
ORD-10023,2026-08-04,Vina Santoso,+6289586900173,MGA01,Mi Gurih Ayam,2,3500,7000,orders_july.csv,24,Mi Gurih Ayam
ORD-10024,2026-08-02,Vina Santoso,+6288426674604,MDD1L,Minyak Dapur Desa 1L,4,19000,76000,orders_july.csv,25,Minyak Dapur Desa 1L
ORD-10028,2026-08-26,Putri Saputra,+6281437899928,DSP45,Deterjen Segar Pagi 450g,1,15500,15500,orders_july.csv,29,DETERJEN SEGAR PAGI 450G
ORD-10029,2026-08-11,Kiki Pratama,+6284725719149,SH080,Sabun Harum 80g,7,6500,45500,orders_july.csv,30,Sabun   Harum   80g
